iter	Passed	Remaining
409	5789	2188
410	5801	2173
411	5812	2158
412	5824	2143
413	5834	2128
414	5846	2113
415	5859	2098
416	5872	2084
417	5883	2068
418	5893	2053
419	5902	2037
420	5913	2022
421	5924	2007
422	5937	1993
423	5948	1978
424	5960	1963
425	5972	1948
426	5984	1934
427	5997	1919
428	6008	1904
429	6021	1890
430	6033	1875
431	6045	1861
432	6057	1846
433	6069	1832
434	6090	1820
435	6100	1804
436	6110	1789
437	6119	1774
438	6129	1759
439	6140	1744
440	6152	1729
441	6163	1715
442	6175	1700
443	6188	1686
444	6209	1674
445	6221	1659
446	6233	1645
447	6243	1630
448	6255	1616
449	6266	1601
450	6277	1586
451	6288	1572
452	6299	1557
453	6310	1542
454	6321	1528
455	6330	1513
456	6341	1498
457	6352	1484
458	6363	1469
459	6375	1455
460	6386	1440
461	6398	1426
462	6409	1412
463	6423	1398
464	6434	1383
465	6448	1369
466	6462	1356
467	6474	1342
468	6487	1327
469	6499	1313
470	6514	1300
471	6525	1285
472	6536	1271
473	6546	1256
474	6556	1242
475	6566	1227
476	6577	1213
477	6588	1199
478	6598	1184
479	6608	1170
480	6618	1155
481	6628	1141
482	6639	1127
483	6649	1112
484	6658	1098
485	6668	1083
486	6677	1069
487	6687	1055
488	6696	1040
489	6706	1026
490	6725	1013
491	6744	1000
492	6763	987
493	6773	973
494	6782	959
495	6805	946
496	6815	932
497	6824	918
498	6833	903
499	6844	889
500	6854	875
501	6864	861
502	6873	847
503	6882	833
504	6891	818
505	6901	804
506	6922	791
507	6934	778
508	6944	764
509	6952	749
510	6963	735
511	6973	721
512	6983	707
513	6991	693
514	7001	679
515	7011	665
516	7021	651
517	7030	637
518	7039	623
519	7048	609
520	7057	596
521	7066	582
522	7074	568
523	7084	554
524	7092	540
525	7102	526
526	7113	512
527	7123	499
528	7133	485
529	7142	471
530	7153	458
531	7164	444
532	7175	430
533	7187	417
534	7199	403
535	7210	390
536	7220	376
537	7230	362
538	7242	349
539	7255	335
540	7268	322
541	7282	309
542	7294	295
543	7305	282
544	7317	268
545	7327	254
546	7338	241
547	7351	228
548	7362	214
549	7373	201
550	7386	187
551	7397	174
552	7408	160
553	7418	147
554	7429	133
555	7440	120
556	7450	107
557	7460	93
558	7472	80
559	7483	66
560	7494	53
561	7505	40
562	7516	26
563	7525	13
564	7535	0
