iter	Logloss
0	0.5878036853
1	0.5402232792
2	0.4778157099
3	0.4528315198
4	0.4323435891
5	0.4193300131
6	0.4025422275
7	0.3845887093
8	0.3739244986
9	0.3618264345
10	0.3537091069
11	0.3471511015
12	0.3383370206
13	0.3296610848
14	0.3181262052
15	0.3121076581
16	0.3072288721
17	0.299972492
18	0.2925607358
19	0.287443377
20	0.2822496633
21	0.2750050622
22	0.2697715549
23	0.267436114
24	0.2632650727
25	0.261661321
26	0.2592781365
27	0.2573528685
28	0.2537427513
29	0.2519645278
30	0.2497210518
31	0.2467444076
32	0.2418919418
33	0.2404741442
34	0.2371759371
35	0.2353146801
36	0.2337933878
37	0.2321590767
38	0.2307092094
39	0.2281243121
40	0.2267063142
41	0.2245761513
42	0.2234258546
43	0.2210890584
44	0.2200158274
45	0.2185830739
46	0.2176808429
47	0.21569048
48	0.2138598978
49	0.2129065147
50	0.2113402084
51	0.2099676028
52	0.2085987224
53	0.2066717725
54	0.2053701747
55	0.2043890339
56	0.2038141771
57	0.2022663528
58	0.2011142166
59	0.2002551691
60	0.1994819023
61	0.1979039096
62	0.1967783932
63	0.1953902186
64	0.1938879551
65	0.1925033422
66	0.1914999775
67	0.1901853524
68	0.1889797659
69	0.1878992319
70	0.186248066
71	0.1853907789
72	0.1845658015
73	0.1832822879
74	0.1821647544
75	0.1808845892
76	0.1794226233
77	0.1785320566
78	0.1770600997
79	0.1758419585
80	0.1751502336
81	0.1739438318
82	0.1730379195
83	0.17159334
84	0.1709340868
85	0.1699632091
86	0.1689981147
87	0.1679336857
88	0.1668663273
89	0.1658127017
90	0.1651025438
91	0.1643935692
92	0.163654117
93	0.1628204838
94	0.1619628149
95	0.1609876809
96	0.1602155012
97	0.1596208815
98	0.1592033726
99	0.1586671258
100	0.1581971634
101	0.157638592
102	0.1568401675
103	0.1562110251
104	0.1551898563
105	0.1548292015
106	0.1538612256
107	0.1533366783
108	0.152928861
109	0.1522158605
110	0.1513812376
111	0.1509253143
112	0.149669654
113	0.1488687274
114	0.1483775978
115	0.1476368311
116	0.1470848138
117	0.1464383566
118	0.1457428224
119	0.1452018624
120	0.1447196142
121	0.1439880474
122	0.1434700183
123	0.1430956151
124	0.1424825775
125	0.141740923
126	0.1407946685
127	0.140213763
128	0.1398148515
129	0.1394530266
130	0.138859865
131	0.1382272149
132	0.1376226111
133	0.1370869408
134	0.136532809
135	0.1361787078
136	0.1356230999
137	0.1350192052
138	0.1342847933
139	0.1339040789
140	0.1334867274
141	0.1327175074
142	0.1321211006
143	0.1315979966
144	0.1310807577
145	0.1306261391
146	0.130206644
147	0.1298230594
148	0.1294857051
149	0.128963242
150	0.1287572244
151	0.1281112231
152	0.1273712026
153	0.1268047621
154	0.1264634292
155	0.1262098941
156	0.1257266372
157	0.1252636391
158	0.1249314948
159	0.1243474813
160	0.1238081287
161	0.1230539247
162	0.1228350215
163	0.1224291203
164	0.121940927
165	0.1214138307
166	0.1210553327
167	0.1204660723
168	0.1197143939
169	0.1194313133
170	0.119160444
171	0.1186992303
172	0.1182263163
173	0.1179419102
174	0.1173905746
175	0.1169943671
176	0.1165404185
177	0.1161741774
178	0.1158295001
179	0.1154678274
180	0.1151295787
181	0.1148131181
182	0.1145290857
183	0.1142507247
184	0.1138431264
185	0.1135227847
186	0.1132482075
187	0.1128581346
188	0.1124345755
189	0.1121489298
190	0.1118520487
191	0.1115334104
192	0.1108273983
193	0.1102772257
194	0.1100007058
195	0.1097648592
196	0.1095974248
197	0.1092049064
198	0.1089317074
199	0.1086040537
200	0.1081873885
201	0.1079901358
202	0.1074097779
203	0.1070446479
204	0.1068788609
205	0.1064996917
206	0.1062556681
207	0.1059434328
208	0.1057426047
209	0.1054842467
210	0.1050652907
211	0.1046084427
212	0.1040303912
213	0.1037949252
214	0.103531866
215	0.1033666461
216	0.1029149065
217	0.1024026693
218	0.1021781824
219	0.1017541544
220	0.1014693304
221	0.101035928
222	0.1006718481
223	0.1003428822
224	0.1000504108
225	0.09975477856
226	0.09948236498
227	0.09919934936
228	0.09882673159
229	0.09855220947
230	0.09835592938
231	0.09816950821
232	0.0978254993
233	0.09758197593
234	0.09744644956
235	0.0971647972
236	0.09691732595
237	0.09632905105
238	0.09593024254
239	0.09560661928
240	0.09530532176
241	0.09497225304
